hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,NULL,0,Transient,97,0,3,Check-Out,7/5/15
Resort Hotel,0,14,2015,July,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,NULL,0,Transient,98,0,1,Check-Out,7/4/15
Resort Hotel,0,10,2015,July,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,NULL,0,Transient,153,1,0,Check-Out,7/5/15
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241,NULL,0,Transient,94.71,0,0,Check-Out,7/4/15
Resort Hotel,0,51,2015,July,28,6,1,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,NULL,0,Transient,117.81,1,2,Check-Out,7/10/15
Resort Hotel,0,51,2015,July,28,6,1,3,3,0,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,NULL,0,Transient,117.81,0,2,Check-Out,7/10/15
Resort Hotel,0,98,2015,July,28,6,1,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,240,NULL,0,Transient,87.3,1,1,Check-Out,7/8/15
Resort Hotel,0,88,2015,July,28,7,0,4,3,0,0,HB,USA,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,95,NULL,0,Transient,150,0,1,Check-Out,7/11/15
Resort Hotel,0,10,2015,July,28,10,0,1,2,0,0,BB,USA,Direct,Direct,0,0,0,A,A,0,No Deposit,250,NULL,0,Transient,131,0,0,Check-Out,7/11/15
Resort Hotel,0,42,2015,July,29,13,1,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,NULL,0,Transient,110,1,0,Check-Out,7/16/15
Resort Hotel,0,7,2015,July,29,16,0,1,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,242,NULL,0,Transient,169,1,1,Check-Out,7/17/15
Resort Hotel,0,70,2015,July,31,28,0,1,2,1,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,241,NULL,0,Transient,114.85,0,1,Check-Out,7/29/15
Resort Hotel,0,110,2015,July,31,28,2,8,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,6,NULL,0,Transient,90.95,0,1,Check-Out,8/7/15
Resort Hotel,0,5,2015,August,32,8,2,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Transient,157.59,0,1,Check-Out,8/11/15
Resort Hotel,0,34,2015,August,33,9,2,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,211,0,1,Check-Out,8/13/15
Resort Hotel,0,30,2015,August,33,10,1,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,211,0,0,Check-Out,8/13/15
Resort Hotel,0,2,2015,August,33,15,2,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,242.5,0,0,Check-Out,8/19/15
Resort Hotel,0,0,2015,August,34,20,0,1,1,0,0,BB,USA,Direct,Direct,0,0,0,G,G,1,No Deposit,NULL,NULL,0,Transient,200,0,0,Check-Out,8/21/15
Resort Hotel,0,4,2015,September,36,2,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,154.25,0,0,Check-Out,9/6/15
Resort Hotel,0,25,2015,September,36,5,1,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,NULL,0,Transient,139.5,1,1,Check-Out,9/7/15
Resort Hotel,0,119,2015,September,39,23,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,241,NULL,0,Transient,56.98,0,1,Check-Out,9/25/15
Resort Hotel,0,69,2015,October,41,5,1,1,2,0,0,HB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Transient,88,0,1,Check-Out,10/7/15
Resort Hotel,0,130,2015,October,42,16,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,F,E,0,No Deposit,241,NULL,0,Transient,98.4,1,0,Check-Out,10/18/15
Resort Hotel,0,2,2015,October,44,29,0,2,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,35.1,0,1,Check-Out,10/31/15
Resort Hotel,0,25,2015,October,44,30,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,56,0,0,Check-Out,11/1/15
Resort Hotel,0,54,2015,October,44,31,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,241,NULL,0,Transient,38.81,1,1,Check-Out,11/1/15
Resort Hotel,0,11,2015,November,45,6,0,1,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,NULL,0,Transient,44.1,0,1,Check-Out,11/7/15
Resort Hotel,0,23,2016,January,3,14,0,1,2,0,0,BB,USA,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient,48,0,0,Check-Out,1/15/16
Resort Hotel,1,44,2016,May,19,6,2,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,95,0,0,Canceled,3/23/16
Resort Hotel,1,54,2016,May,20,13,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,86,0,0,Canceled,3/29/16
Resort Hotel,1,46,2016,May,22,22,1,0,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,90,0,0,Canceled,5/5/16
Resort Hotel,1,18,2016,May,22,27,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,139,0,1,Canceled,5/14/16
Resort Hotel,1,18,2016,May,22,27,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,145,0,1,Canceled,5/14/16
